date,close,volume,open,high,low,symbol
2024-05-30,110.5,487350300,114.65,115.8191,109.663,NVDA
2024-05-29,114.825,557441900,113.05,115.492,110.901,NVDA
2024-05-28,113.901,652727900,110.244,114.939,109.883,NVDA
2024-05-24,106.469,429493700,104.449,106.475,103.0,NVDA
2024-05-23,103.799,835065300,102.028,106.32,101.52,NVDA
2024-05-22,94.95,548648000,95.459,96.02,93.249,NVDA
2024-05-21,95.386,328946500,93.599,95.4,93.18,NVDA
2024-05-20,94.78,318764500,93.75,95.2,93.44,NVDA
2024-05-17,92.479,359691000,94.369,94.74,91.806,NVDA
2024-05-16,94.359,323951800,94.91,95.819,94.103,NVDA
2024-05-15,94.63,417735500,92.472,94.862,91.599,NVDA
2024-05-14,91.356,296507100,89.599,91.651,88.934,NVDA
2024-05-13,90.399,289680200,90.478,90.998,88.529,NVDA
2024-05-10,89.878,335325400,90.3045,91.401,89.227,NVDA
2024-05-09,88.747,378012700,90.529,91.072,88.231,NVDA
2024-05-08,90.412,325721000,89.4825,91.194,89.42,NVDA
2024-05-07,90.554,437341600,91.098,91.781,89.011,NVDA
2024-05-06,92.14,376202600,89.39,92.22,89.055,NVDA
2024-05-03,88.789,398340700,87.789,89.281,87.04,NVDA
2024-05-02,85.817,377897500,84.449,86.237,83.2,NVDA
2024-05-01,83.041,559863200,85.077,86.0,81.2546,NVDA
2024-04-30,86.402,363708700,87.24,88.819,86.3,NVDA
2024-04-29,87.757,388970800,87.595,87.992,85.266,NVDA
2024-04-26,87.735,551010800,83.818,88.3309,83.387,NVDA
2024-04-25,82.632,424640700,78.868,83.323,78.223,NVDA
2024-04-24,79.677,512207500,83.95,84.082,79.183,NVDA
2024-04-23,82.423,438559400,80.769,82.769,80.264,NVDA
2024-04-22,79.518,596340500,78.104,80.073,76.4,NVDA
2024-04-19,76.2,875198000,83.15,84.324,75.606,NVDA
2024-04-18,84.671,447260300,84.97,86.19,82.402,NVDA
2024-04-17,84.035,495399500,88.34,88.775,83.95,NVDA
2024-04-16,87.415,370453000,86.4325,88.118,86.0639,NVDA
2024-04-15,86.001,443077000,89.098,90.613,85.929,NVDA
2024-04-12,88.186,426804800,89.699,90.175,87.53,NVDA
2024-04-11,90.616,431637300,87.42,90.739,86.926,NVDA
2024-04-10,87.039,431928500,83.926,87.4,83.709,NVDA
